Date,Region,Country,Device_Type,Users,Total_Events,Revenue,Event_per_User,Engaged_Users,Sessions,Conversions,Unique_Users_Previous_Period,Total_Events_Previous_Period,Revenue_Previous_Period,Events_per_User_Previous_Period,Engaged_Users_Previous_Period,Sessions_Previous_Period,Conversions_Previous_Period
2024-11-14,Santiago Metropolitan Region,Chile,mobile,page_view,13,48,0,3.4285714285714284,48,0,0,13,48,0,3.4285714285714284,48,0,0
2024-11-14,Santiago Metropolitan Region,Chile,mobile,session_start,13,0,0,0,15,0,0,13,0,0,0,15,0,0
2024-11-14,Santiago Metropolitan Region,Chile,mobile,first_visit,12,0,0,0,12,0,0,12,0,0,0,12,0,0
2024-11-14,Santiago Metropolitan Region,Chile,mobile,user_engagement,11,0,0,0,36,0,0,11,0,0,0,36,0,0
2024-11-13,Santiago Metropolitan Region,Chile,mobile,first_visit,6,0,0,0,6,0,0,6,0,0,0,6,0,0
2024-11-13,Santiago Metropolitan Region,Chile,mobile,page_view,6,57,0,6.333333333333333,57,0,0,6,57,0,6.333333333333333,57,0,0
2024-11-13,Santiago Metropolitan Region,Chile,mobile,session_start,6,0,0,0,9,0,0,6,0,0,0,9,0,0
2024-11-13,Santiago Metropolitan Region,Chile,desktop,page_view,5,95,0,13.571428571428571,95,0,0,5,95,0,13.571428571428571,95,0,0
2024-11-13,Santiago Metropolitan Region,Chile,desktop,scroll,5,0,0,0,18,0,0,5,0,0,0,18,0,0
2024-11-13,Santiago Metropolitan Region,Chile,desktop,user_engagement,5,0,0,0,66,0,0,5,0,0,0,66,0,0
2024-11-13,Santiago Metropolitan Region,Chile,mobile,form_start,5,0,0,0,15,0,0,5,0,0,0,15,0,0
2024-11-13,Santiago Metropolitan Region,Chile,mobile,form_submit,5,0,0,0,10,0,0,5,0,0,0,10,0,0
2024-11-13,Santiago Metropolitan Region,Chile,mobile,user_engagement,5,0,0,0,44,0,0,5,0,0,0,44,0,0
2024-11-13,Santiago Metropolitan Region,Chile,desktop,first_visit,4,0,0,0,4,0,0,4,0,0,0,4,0,0
2024-11-13,Santiago Metropolitan Region,Chile,desktop,session_start,4,0,0,0,6,0,0,4,0,0,0,6,0,0
2024-11-13,Santiago Metropolitan Region,Chile,mobile,add_to_cart,4,0,0,0,8,0,0,4,0,0,0,8,0,0
2024-11-13,Santiago Metropolitan Region,Chile,mobile,begin_checkout,4,0,0,0,5,0,0,4,0,0,0,5,0,0
2024-11-13,Santiago Metropolitan Region,Chile,mobile,purchase,4,0,40272.000169,0,4,10068.00004225,4,4,0,40272.000169,0,4,10068.00004225,4
